
DATASET A
node_best	edge_best	node_avg	edge_avg
0.88	0.37	0.863283	0.246356
0.86	0.11	0.86024	0.232052
0.9	0.47	0.863083	0.242973
0.87	0.12	0.836867	0.211592
0.87	0.14	0.841211	0.20971
0.85	0.24	0.85039	0.235546
0.89	0.23	0.848028	0.226957
0.86	0.38	0.843744	0.226036
0.83	0.26	0.846567	0.227297
0.86	0.39	0.833864	0.216747
0.87	0.12	0.854865	0.232683
0.9	0.46	0.872292	0.25037
0.86	0.1	0.843984	0.22048
0.86	0.13	0.849329	0.222973
0.87	0.07	0.853794	0.223053
0.88	0.31	0.855576	0.234655
0.85	0.17	0.849409	0.225105
0.88	0.17	0.848468	0.230591
0.87	0.15	0.856857	0.221902
0.87	0.43	0.832583	0.217187
0.87	0.25	0.865425	0.233564
0.88	0.36	0.86955	0.222993
0.89	0.17	0.863093	0.233834
0.89	0.44	0.85981	0.234214
0.85	0.29	0.832743	0.207107
0.85	0.26	0.82014	0.20954
0.9	0.34	0.864855	0.233774
0.86	0.28	0.854875	0.23978
0.85	0.16	0.863714	0.229059
0.88	0.44	0.860581	0.226216
0.93	0.33	0.861652	0.242142
0.87	0.16	0.854605	0.212042
0.88	0.23	0.848959	0.22036
0.88	0.4	0.862853	0.23985
0.85	0.21	0.844715	0.212963
0.87	0.35	0.870661	0.228749
0.88	0.18	0.8499	0.22983
0.84	0.15	0.851401	0.218869
0.9	0.33	0.87008	0.24951
0.88	0.14	0.854404	0.218188
0.89	0.32	0.859329	0.22974
0.9	0.32	0.861231	0.239249
0.91	0.15	0.858449	0.232002
0.85	0.27	0.840911	0.227558
0.83	0.23	0.846316	0.209489
0.86	0.16	0.857057	0.21968
0.81	0.14	0.835576	0.204535
0.89	0.4	0.844665	0.225716
0.89	0.14	0.859049	0.234074
0.88	0.13	0.849319	0.219479
0.87	0.37	0.856757	0.249329
0.89	0.31	0.868839	0.246637
0.85	0.22	0.833924	0.220861
0.91	0.2	0.857598	0.220971
0.86	0.31	0.83979	0.21984
0.84	0.17	0.843463	0.230681
0.84	0.13	0.857758	0.21975
0.85	0.13	0.842713	0.219369
0.9	0.11	0.867167	0.241061
0.85	0.2	0.866927	0.225526
0.88	0.14	0.855906	0.246687
0.83	0.17	0.856136	0.221682
0.87	0.19	0.842693	0.221261
0.86	0.19	0.850941	0.218589
0.87	0.18	0.855756	0.22981
0.87	0.3	0.855936	0.224855
0.87	0.34	0.853544	0.235636
0.86	0.34	0.847798	0.23045
0.86	0.13	0.835536	0.210511
0.86	0.38	0.853203	0.225716
0.87	0.13	0.857828	0.216466
0.89	0.4	0.861542	0.232312
0.84	0.28	0.844224	0.219119
0.89	0.31	0.865656	0.234915
0.84	0.26	0.843584	0.200951
0.87	0.15	0.837187	0.206326
0.84	0.17	0.836456	0.197568
0.9	0.13	0.86026	0.222092
0.86	0.12	0.857978	0.231081
0.87	0.21	0.859219	0.212252
0.87	0.09	0.862392	0.222613
0.84	0.36	0.834625	0.210631
0.9	0.13	0.872162	0.22042
0.86	0.31	0.839359	0.224424
0.86	0.34	0.858809	0.223003
0.86	0.23	0.86036	0.231902
0.89	0.15	0.861251	0.215826
0.88	0.38	0.866156	0.252923
0.88	0.19	0.845125	0.238418
0.86	0.38	0.832002	0.233564
0.83	0.19	0.839159	0.210691
0.84	0.28	0.845956	0.204565
0.88	0.35	0.863113	0.231692
0.91	0.25	0.861281	0.214535
0.88	0.36	0.841381	0.21952
0.88	0.29	0.866126	0.237147
0.86	0.42	0.841451	0.228589
0.89	0.35	0.86034	0.228418
0.85	0.28	0.853163	0.226847
0.86	0.24	0.849439	0.207087
0.87	0.11	0.853914	0.231712
0.87	0.48	0.828048	0.221071
0.89	0.12	0.866677	0.228569
0.89	0.24	0.85987	0.21997
0.88	0.21	0.839319	0.215015
0.86	0.28	0.85966	0.223393
0.89	0.34	0.870991	0.240601
0.88	0.17	0.862322	0.219019
0.85	0.3	0.844334	0.221902
0.88	0.03	0.841401	0.224044
0.85	0.23	0.853684	0.233824
0.85	0.34	0.843784	0.220501
0.84	0.37	0.834254	0.211722
0.89	0.43	0.86035	0.23972
0.91	0.11	0.867427	0.23001
0.88	0.31	0.865936	0.22994
0.85	0.36	0.844625	0.221612
0.89	0.35	0.86039	0.215856
0.89	0.14	0.862803	0.229109
0.84	0.14	0.82993	0.210561
0.89	0.45	0.858108	0.234735
0.88	0.47	0.851051	0.233483
0.9	0.27	0.855265	0.226997
0.87	0.35	0.854284	0.217578
0.88	0.28	0.845385	0.216767
0.87	0.25	0.855916	0.227487
